artist_name,genre,popularity,followers,external_url,ticket_sales,ticket_price
Megan Thee Stallion,"houston rap, pop, rap, trap queen",83,9736953,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK,Unknown,Unknown
Braden Bales,singer-songwriter pop,47,83579,https://open.spotify.com/artist/3Ru5n2T3JIrjnSZhf2rinv,Unknown,Unknown
Dead Posey,"modern alternative rock, rebel blues",38,48666,https://open.spotify.com/artist/7qTUKYzO77RvL1Kxie0xUO,No events,No price
Oasis,"beatlesque, britpop, madchester, permanent wave, rock",84,10588082,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4,Unknown,30.0
Deep Purple,"album rock, classic rock, hard rock, metal, rock",66,5587877,https://open.spotify.com/artist/568ZhdwyaiCyOGJRtNYhWf,Unknown,36.0
ROZES,"alt z, electropop, indie poptimism",60,126142,https://open.spotify.com/artist/6jsjhAEteAlY0vCiLvMLBA,Unknown,25.0
The Weeknd,"canadian contemporary r&b, canadian pop, pop",94,90797862,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Unknown,101.0
Boston,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",66,2804575,https://open.spotify.com/artist/29kkCKKGXheHuoO829FxWK,Unknown,Unknown
d4vd,"bedroom pop, bedroom r&b",78,2906592,https://open.spotify.com/artist/5y8tKLUfMvliMe8IKamR32,Unknown,49.5
Surf Trash,"australian surf rock, newcastle nsw indie",42,24458,https://open.spotify.com/artist/78DoiOUHouyEPI7aNgqkkm,No events,No price
Forts,,47,3571,https://open.spotify.com/artist/5PNxXTkVfckrFbwcW6EKdE,Unknown,Unknown
Our Mirage,"german post-hardcore, metalcore",37,54356,https://open.spotify.com/artist/1QpYiCxy3p5Wz7HtomBqHU,No events,No price
Maxwell Luke,,29,2764,https://open.spotify.com/artist/1LzbpVQTKYhHewqsn5DCnX,No events,No price
Trash Boat,"anthem emo, easycore, pop punk, uk pop punk",46,119917,https://open.spotify.com/artist/0XGJ3GUPwslwFJ66yNbHeh,Unknown,22.0
"Tyler, The Creator","hip hop, rap",86,16183672,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,Unknown,Unknown
Troye Sivan,"australian pop, pop, viral pop",77,8278114,https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP,Unknown,158.38
Gurriers,"crank wave, irish post-punk, irish shoegaze",33,11379,https://open.spotify.com/artist/0bPAi2zCrxUrPBREWdetZ5,Unknown,14.8
Snow Wife,,56,148691,https://open.spotify.com/artist/7CV3dQkhJB2dEqb85ICD33,No events,No price
Gabriela Bee,,54,165034,https://open.spotify.com/artist/4z0EquFxDCtiHuPGiWDCq1,No events,No price
Aerosmith,"album rock, classic rock, hard rock, rock",76,14560083,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH,Unknown,Unknown
Myles Smith,singer-songwriter pop,79,693963,https://open.spotify.com/artist/3bO19AOone0ubCsfDXDtYt,Unknown,35.0
Led Zeppelin,"album rock, classic rock, hard rock, rock",77,14619444,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,Unknown,280.0
"{""artists"": {""href"": ""https://api.spotify.com/v1/search?query=Taylor+Swift&type=artist&offset=0&limit=20"", ""items"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02""}, ""followers"": {""href"": null, ""total"": 121098653}, ""genres"": [""pop""], ""href"": ""https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02"", ""id"": ""06HL4z0CvFAxyc27GXpf02"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab67616100005174e672b5f553298dcdccb0e676"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676"", ""width"": 160}], ""name"": ""Taylor Swift"", ""popularity"": 100, ""type"": ""artist"", ""uri"": ""spotify:artist:06HL4z0CvFAxyc27GXpf02""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4CB8mmEbDXVxkzNpJgkj65""}, ""followers"": {""href"": null, ""total"": 235355}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/4CB8mmEbDXVxkzNpJgkj65"", ""id"": ""4CB8mmEbDXVxkzNpJgkj65"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2739584185e27f41b28d287edcc"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e029584185e27f41b28d287edcc"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048519584185e27f41b28d287edcc"", ""width"": 64}], ""name"": ""Salish Matter"", ""popularity"": 35, ""type"": ""artist"", ""uri"": ""spotify:artist:4CB8mmEbDXVxkzNpJgkj65""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0DwbGCdaD8YLRiVUEiV70Q""}, ""followers"": {""href"": null, ""total"": 3741}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/0DwbGCdaD8YLRiVUEiV70Q"", ""id"": ""0DwbGCdaD8YLRiVUEiV70Q"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2738160a48bb1693050f496b11e"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e028160a48bb1693050f496b11e"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048518160a48bb1693050f496b11e"", ""width"": 64}], ""name"": ""Taylor Swift Piano Covers"", ""popularity"": 32, ""type"": ""artist"", ""uri"": ""spotify:artist:0DwbGCdaD8YLRiVUEiV70Q""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG""}, ""followers"": {""href"": null, ""total"": 39480304}, ""genres"": [""pop""], ""href"": ""https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG"", ""id"": ""1McMsnEElThX1knmY4oliG"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab67616100005174e03a98785f3658f0b6461ec4"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f178e03a98785f3658f0b6461ec4"", ""width"": 160}], ""name"": ""Olivia Rodrigo"", ""popularity"": 88, ""type"": ""artist"", ""uri"": ""spotify:artist:1McMsnEElThX1knmY4oliG""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3vZoN5cnYOycsJ5KsFkjo5""}, ""followers"": {""href"": null, ""total"": 178}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/3vZoN5cnYOycsJ5KsFkjo5"", ""id"": ""3vZoN5cnYOycsJ5KsFkjo5"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273785702c6f41f1fa6d6c3d2b1"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02785702c6f41f1fa6d6c3d2b1"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851785702c6f41f1fa6d6c3d2b1"", ""width"": 64}], ""name"": ""Taylor Swift - Evermore - Piano Covers"", ""popularity"": 5, ""type"": ""artist"", ""uri"": ""spotify:artist:3vZoN5cnYOycsJ5KsFkjo5""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T""}, ""followers"": {""href"": null, ""total"": 33788248}, ""genres"": [""brostep"", ""edm"", ""pop"", ""progressive electro house""], ""href"": ""https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T"", ""id"": ""64KEffDW9EtZ1y2vBYgq8T"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5eb69b18a96278c204074a6f265"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab6761610000517469b18a96278c204074a6f265"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f17869b18a96278c204074a6f265"", ""width"": 160}], ""name"": ""Marshmello"", ""popularity"": 84, ""type"": ""artist"", ""uri"": ""spotify:artist:64KEffDW9EtZ1y2vBYgq8T""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/7oW3aIseIypoEqcOqvzUfS""}, ""followers"": {""href"": null, ""total"": 116}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/7oW3aIseIypoEqcOqvzUfS"", ""id"": ""7oW3aIseIypoEqcOqvzUfS"", ""images"": [], ""name"": ""taylorr swiftt"", ""popularity"": 7, ""type"": ""artist"", ""uri"": ""spotify:artist:7oW3aIseIypoEqcOqvzUfS""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW""}, ""followers"": {""href"": null, ""total"": 1240736}, ""genres"": [""children's music""], ""href"": ""https://api.spotify.com/v1/artists/1Vvvx45Apu6dQqwuZQxtgW"", ""id"": ""1Vvvx45Apu6dQqwuZQxtgW"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5eb72c72bfa75f2d33c9fb441f9"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab6761610000517472c72bfa75f2d33c9fb441f9"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f17872c72bfa75f2d33c9fb441f9"", ""width"": 160}], ""name"": ""Kidz Bop Kids"", ""popularity"": 67, ""type"": ""artist"", ""uri"": ""spotify:artist:1Vvvx45Apu6dQqwuZQxtgW""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0CkM1sLkP3yQW8I7ja51am""}, ""followers"": {""href"": null, ""total"": 89}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/0CkM1sLkP3yQW8I7ja51am"", ""id"": ""0CkM1sLkP3yQW8I7ja51am"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273dfa911b8ed663b571d9dab70"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02dfa911b8ed663b571d9dab70"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851dfa911b8ed663b571d9dab70"", ""width"": 64}], ""name"": ""Brandon Taylor Smith"", ""popularity"": 33, ""type"": ""artist"", ""uri"": ""spotify:artist:0CkM1sLkP3yQW8I7ja51am""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/6LqNN22kT3074XbTVUrhzX""}, ""followers"": {""href"": null, ""total"": 8116392}, ""genres"": [""dance pop"", ""pop""], ""href"": ""https://api.spotify.com/v1/artists/6LqNN22kT3074XbTVUrhzX"", ""id"": ""6LqNN22kT3074XbTVUrhzX"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5eb2ac07249400857d8b16dc17a"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab676161000051742ac07249400857d8b16dc17a"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f1782ac07249400857d8b16dc17a"", ""width"": 160}], ""name"": ""Kesha"", ""popularity"": 80, ""type"": ""artist"", ""uri"": ""spotify:artist:6LqNN22kT3074XbTVUrhzX""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/14waR9FpjuHkqhd3DlMAYu""}, ""followers"": {""href"": null, ""total"": 71}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/14waR9FpjuHkqhd3DlMAYu"", ""id"": ""14waR9FpjuHkqhd3DlMAYu"", ""images"": [], ""name"": ""Taylor Swiftsz"", ""popularity"": 0, ""type"": ""artist"", ""uri"": ""spotify:artist:14waR9FpjuHkqhd3DlMAYu""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN""}, ""followers"": {""href"": null, ""total"": 28527581}, ""genres"": [""pop""], ""href"": ""https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN"", ""id"": ""5WUlDfRSoLAfcVSX1WnrxN"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5eb7c997fe6951bc0926f09ba38"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab676161000051747c997fe6951bc0926f09ba38"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f1787c997fe6951bc0926f09ba38"", ""width"": 160}], ""name"": ""Sia"", ""popularity"": 84, ""type"": ""artist"", ""uri"": ""spotify:artist:5WUlDfRSoLAfcVSX1WnrxN""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3OGj4jFXF7Cw4ORWS7T3ra""}, ""followers"": {""href"": null, ""total"": 517}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/3OGj4jFXF7Cw4ORWS7T3ra"", ""id"": ""3OGj4jFXF7Cw4ORWS7T3ra"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273bbd79a349857d5e5ec3f88d0"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02bbd79a349857d5e5ec3f88d0"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851bbd79a349857d5e5ec3f88d0"", ""width"": 64}], ""name"": ""Taylor Swift Facts"", ""popularity"": 1, ""type"": ""artist"", ""uri"": ""spotify:artist:3OGj4jFXF7Cw4ORWS7T3ra""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM""}, ""followers"": {""href"": null, ""total"": 18363416}, ""genres"": [""pop"", ""talent show"", ""uk pop""], ""href"": ""https://api.spotify.com/v1/artists/4IWBUUAFIplrNtaOHcJPRM"", ""id"": ""4IWBUUAFIplrNtaOHcJPRM"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5eb2a0c6d0343c82be9dd6fce0b"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab676161000051742a0c6d0343c82be9dd6fce0b"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f1782a0c6d0343c82be9dd6fce0b"", ""width"": 160}], ""name"": ""James Arthur"", ""popularity"": 81, ""type"": ""artist"", ""uri"": ""spotify:artist:4IWBUUAFIplrNtaOHcJPRM""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5Yzz6SisIkcvuhKSdJ02en""}, ""followers"": {""href"": null, ""total"": 112}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/5Yzz6SisIkcvuhKSdJ02en"", ""id"": ""5Yzz6SisIkcvuhKSdJ02en"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273623c43e08dff5dce47beb004"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02623c43e08dff5dce47beb004"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851623c43e08dff5dce47beb004"", ""width"": 64}], ""name"": ""Taylor Swifter"", ""popularity"": 0, ""type"": ""artist"", ""uri"": ""spotify:artist:5Yzz6SisIkcvuhKSdJ02en""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2ODbg2404zUzTi02qIPEjB""}, ""followers"": {""href"": null, ""total"": 3578379}, ""genres"": [""cali rap"", ""dfw rap"", ""rap"", ""trap""], ""href"": ""https://api.spotify.com/v1/artists/2ODbg2404zUzTi02qIPEjB"", ""id"": ""2ODbg2404zUzTi02qIPEjB"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5eb51563869e6c481a80c117878"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab6761610000517451563869e6c481a80c117878"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f17851563869e6c481a80c117878"", ""width"": 160}], ""name"": ""Tay-K"", ""popularity"": 65, ""type"": ""artist"", ""uri"": ""spotify:artist:2ODbg2404zUzTi02qIPEjB""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/7kaJOOAkXnnaA7nlEb9p0H""}, ""followers"": {""href"": null, ""total"": 159}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/7kaJOOAkXnnaA7nlEb9p0H"", ""id"": ""7kaJOOAkXnnaA7nlEb9p0H"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273d280a0345333842e408c03d1"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02d280a0345333842e408c03d1"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851d280a0345333842e408c03d1"", ""width"": 64}], ""name"": ""Taylor Swifta"", ""popularity"": 0, ""type"": ""artist"", ""uri"": ""spotify:artist:7kaJOOAkXnnaA7nlEb9p0H""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/6ca3AFdIIgaP4ZIW8J6zXu""}, ""followers"": {""href"": null, ""total"": 253591}, ""genres"": [""australian children's music"", ""children's music""], ""href"": ""https://api.spotify.com/v1/artists/6ca3AFdIIgaP4ZIW8J6zXu"", ""id"": ""6ca3AFdIIgaP4ZIW8J6zXu"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5ebf4104b24eeddd34326f8376a"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab67616100005174f4104b24eeddd34326f8376a"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f178f4104b24eeddd34326f8376a"", ""width"": 160}], ""name"": ""Bluey"", ""popularity"": 66, ""type"": ""artist"", ""uri"": ""spotify:artist:6ca3AFdIIgaP4ZIW8J6zXu""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5D4eBBCFWPid24YVLH7206""}, ""followers"": {""href"": null, ""total"": 60}, ""genres"": [], ""href"": ""https://api.spotify.com/v1/artists/5D4eBBCFWPid24YVLH7206"", ""id"": ""5D4eBBCFWPid24YVLH7206"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273b8f456b4e50c43b271d81704"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02b8f456b4e50c43b271d81704"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851b8f456b4e50c43b271d81704"", ""width"": 64}], ""name"": ""Taylor Swiftoo"", ""popularity"": 0, ""type"": ""artist"", ""uri"": ""spotify:artist:5D4eBBCFWPid24YVLH7206""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/480xKab3lUPhBBnCzlzqIu""}, ""followers"": {""href"": null, ""total"": 195978}, ""genres"": [""bow pop"", ""pop violin""], ""href"": ""https://api.spotify.com/v1/artists/480xKab3lUPhBBnCzlzqIu"", ""id"": ""480xKab3lUPhBBnCzlzqIu"", ""images"": [{""height"": 640, ""url"": ""https://i.scdn.co/image/ab6761610000e5ebcefd7abc8e4cfd9680005cab"", ""width"": 640}, {""height"": 320, ""url"": ""https://i.scdn.co/image/ab67616100005174cefd7abc8e4cfd9680005cab"", ""width"": 320}, {""height"": 160, ""url"": ""https://i.scdn.co/image/ab6761610000f178cefd7abc8e4cfd9680005cab"", ""width"": 160}], ""name"": ""Taylor Davis"", ""popularity"": 49, ""type"": ""artist"", ""uri"": ""spotify:artist:480xKab3lUPhBBnCzlzqIu""}], ""limit"": 20, ""next"": ""https://api.spotify.com/v1/search?query=Taylor+Swift&type=artist&offset=20&limit=20"", ""offset"": 0, ""previous"": null, ""total"": 816}}",Unknown,Unknown,Unknown,Unknown,Error,Error
Post Malone,"dfw rap, melodic rap, pop, rap",93,45311085,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,Unknown,69.5
Zoe Ko,,39,20803,https://open.spotify.com/artist/493xhO4GiL1eOhWUBt8CzZ,Unknown,23.0
David Guetta,"big room, dance pop, edm, pop, pop dance",90,26159119,https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai,Unknown,110.0
Creedence Clearwater Revival,"album rock, classic rock, country rock, mellow gold, rock, southern rock, swamp rock",82,6910495,https://open.spotify.com/artist/3IYUhFvPQItj6xySrBmZkd,Unknown,Unknown
Camila Cabello,"dance pop, pop",82,33719434,https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF,No events,No price
Worry Club,modern indie pop,37,39164,https://open.spotify.com/artist/7Fkc1Q81Zy25eZ5dmnURGl,Unknown,18.0
